Source: http://chemthermo.ddbst.com/Parameters/2012-01-18%20modified%20UNIFAC.txt
No.  Subgroup name    Main group                     R           Q
1    CH3                1  CH2                  0.6325      1.0608
2    CH2                1  CH2                  0.6325      0.7081
3    CH                 1  CH2                  0.6325      0.3554
4    C                  1  CH2                  0.6325      0.0000
5    CH2=CH             2  C=C                  1.2832      1.6016
6    CH=CH              2  C=C                  1.2832      1.2489
7    CH2=C              2  C=C                  1.2832      1.2489
8    CH=C               2  C=C                  1.2832      0.8962
9    ACH                3  ACH                  0.3763      0.4321
10   AC                 3  ACH                  0.3763      0.2113
11   ACCH3              4  ACCH2                0.9100      0.9490
12   ACCH2              4  ACCH2                0.9100      0.7962
13   ACCH               4  ACCH2                0.9100      0.3769
14   OH (P)             5  OH                   1.2302      0.8927
15   CH3OH              6  CH3OH                0.8585      0.9938
16   H2O                7  H2O                  1.7334      2.4561
17   ACOH               8  ACOH                 1.0800      0.9750
18   CH3CO              9  CH2CO                1.7048      1.6700
19   CH2CO              9  CH2CO                1.7048      1.5542
20   CHO               10  CHO                  0.7173      0.7710
21   CH3COO            11  CCOO                 1.2700      1.6286
22   CH2COO            11  CCOO                 1.2700      1.4228
23   HCOO              12  HCOO                 1.9000      1.8000
24   CH3O              13  CH2O                 1.1434      1.6022
25   CH2O              13  CH2O                 1.1434      1.2495
26   CHO               13  CH2O                 1.1434      0.8968
27   THF               43  CY-CH2O              1.7023      1.8784
28   CH3NH2            14  CH2NH2               1.6607      1.6904
29   CH2NH2            14  CH2NH2               1.6607      1.3377
30   CHNH2             14  CH2NH2               1.6607      0.9850
31   CH3NH             15  CH2NH                1.3680      1.4332
32   CH2NH             15  CH2NH                1.3680      1.0805
33   CHNH              15  CH2NH                1.3680      0.7278
34   CH3N              16  (C)3N                1.0746      1.1760
35   CH2N              16  (C)3N                1.0746      0.8240
36   ACNH2             17  ACNH2                1.1849      0.8067
37   AC2H2N            18  PYRIDINE             1.4578      0.9022
38   AC2HN             18  PYRIDINE             1.2393      0.6330
39   AC2N              18  PYRIDINE             1.0731      0.3530
40   CH3CN             19  CH2CN                1.5575      1.5193
41   CH2CN             19  CH2CN                1.5575      1.1666
42   COOH              20  COOH                 0.8000      0.9215
43   HCOOH             44  HCOOH                0.8000      1.2742
44   CH2CL             21  CCL                  0.9919      1.3654
45   CHCL              21  CCL                  0.9919      1.0127
46   CCL               21  CCL                  0.9919      0.6600
47   CH2CL2            22  CCL2                 1.8000      2.5000
48   CHCL2             22  CCL2                 1.8000      2.1473
49   CCL2              22  CCL2                 1.8000      1.7946
50   CHCL3             45  CHCL3                2.4500      2.8912
51   CCL3              23  CCL3                 2.6500      2.3778
52   CCL4              24  CCL4                 2.6180      3.1836
53   ACCL              25  ACCL                 0.5365      0.3177
54   CH3NO2            26  CNO2                 2.6440      2.5000
55   CH2NO2            26  CNO2                 2.5000      2.3040
56   CHNO2             26  CNO2                 2.8870      2.2410
57   ACNO2             27  ACNO2                0.4656      0.3589
58   CS2               28  CS2                  1.2400      1.0680
59   CH3SH             29  CH3SH                1.2890      1.7620
60   CH2SH             29  CH3SH                1.5350      1.3160
61   FURFURAL          30  FURFURAL             1.2990      1.2890
62   DOH               31  DOH                  2.0880      2.4000
63   I                 32  I                    1.0760      0.9169
64   BR                33  BR                   1.2090      1.4000
65   CH=-C             34  C=-C                 0.9214      1.3000
66   C=-C              34  C=-C                 1.3030      1.1320
67   DMSO              35  DMSO                 3.6000      2.6920
68   ACRY              36  ACRY                 1.0000      0.9200
69   CL-(C=C)          37  CLCC                 0.5229      0.7391
70   C=C                2  C=C                  1.2832      0.4582
71   ACF               38  ACF                  0.8814      0.7269
72   DMF               39  DMF                  2.0000      2.0930
73   HCON(..           39  DMF                  2.3810      1.5220
